set,indice
train,30289
train,19691
train,28595
train,48229
train,18946
train,18090
train,61113
train,30687
train,54256
train,25434
train,49000
train,2725
train,58719
train,39153
train,18836
train,17025
train,43267
train,5270
train,57953
train,41572
train,46229
train,57112
train,29110
train,26380
train,3601
train,54533
train,36107
train,4674
train,31295
train,18804
train,60385
train,19214
train,7066
train,331
train,4213
train,14419
train,4267
train,19848
train,31623
train,18172
train,59377
train,57874
train,39882
train,21874
train,24675
train,46377
train,16024
train,8957
train,60963
train,46545
train,28513
train,34428
train,56262
train,51921
train,59603
train,53469
train,27565
train,12813
train,37327
train,6848
train,12382
train,8256
train,47913
train,482
train,41769
train,975
train,36999
train,59653
train,56249
train,33211
train,56069
train,33052
train,37870
train,60069
train,28235
train,50784
train,13636
train,14526
train,59220
train,18995
train,17284
train,9835
train,55128
train,51352
train,3671
train,46773
train,58818
train,53800
train,54758
train,27353
train,9342
train,24765
train,4123
train,21542
train,29120
train,14656
train,9202
train,57864
train,5439
train,27036
train,7204
train,38176
train,9094
train,43497
train,58994
train,29950
train,18511
train,34192
train,55328
train,30893
train,2942
train,43696
train,34566
train,36050
train,47030
train,52552
train,29736
train,16950
train,47561
train,170
train,20935
train,2319
train,54046
train,34429
train,42445
train,3818
train,7868
train,18636
train,42774
train,51421
train,56171
train,1737
train,41707
train,40282
train,45926
train,50922
train,51440
train,13655
train,54404
train,56022
train,36257
train,15594
train,2030
train,35396
train,51178
train,793
train,8223
train,32973
train,35591
train,10467
train,32516
train,3330
train,12399
train,31894
train,49734
train,27197
train,5904
train,16421
train,38935
train,46720
train,24850
train,62116
train,40665
train,18955
train,11086
train,7256
train,57850
train,14310
train,19391
train,43265
train,15729
train,33843
train,60719
train,43310
train,8624
train,42274
train,21052
train,35474
train,61355
train,20706
train,37788
train,48808
train,34923
train,13943
train,51557
train,50489
train,52682
train,15015
train,27161
train,1005
train,29748
train,32611
train,37528
train,26587
train,5609
train,28578
train,54072
train,21616
train,24069
train,27351
train,36002
train,44087
train,62068
train,27633
train,10379
train,21743
train,10571
train,37935
train,14407
train,246
train,10696
train,26046
train,45614
train,14208
train,19477
train,51161
train,59949
train,28956
train,54816
train,61446
train,61668
train,23707
train,55794
train,27737
train,51991
train,12649
train,59615
train,56554
train,51925
train,10302
train,59938
train,21603
train,1690
train,37998
train,29455
train,3999
train,38193
train,60682
train,20897
train,48561
train,48252
train,61383
train,12814
train,44056
train,17492
train,57248
train,50466
train,60646
train,47114
train,24122
train,9895
train,55821
train,46317
train,49726
train,21310
train,4266
train,32035
train,17898
train,49027
train,43113
train,24213
train,47188
train,57657
train,8026
train,46517
train,23817
train,40808
train,57062
train,39025
train,1188
train,45994
train,12560
train,12080
train,52104
train,27923
train,51055
train,8046
train,36329
train,10943
train,50664
train,41679
train,4585
train,42871
train,3461
train,42043
train,53641
train,57656
train,13633
train,49023
train,24646
train,24439
train,11943
train,36443
train,58938
train,52382
train,4971
train,16677
train,15107
train,16296
train,60217
train,55467
train,29208
train,31165
train,60975
train,44103
train,12519
train,58589
train,27020
train,61718
train,50621
train,33343
train,4244
train,30859
train,15100
train,55988
train,39883
train,43654
